id|job_title|location|salary_currency|career_level|experience_level|education_level|employment_type|job_function|job_benefits|company_process_time|company_size|company_industry|job_description
33379|Personal Assistant (Sekretaris)|Surabaya|IDR|Supervisor/Koordinator|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sekretaris|Tunjangan Pendidikan;Bisnis (contoh: Kemeja)|28 days|51 - 200 pekerja|Perawatan/Kecantikan/Fitnes|TUGAS POKOKMengatur konferensi, pertemuan, dan pemesanan perjalanan bagi personil kantor.Menulis, mengetik, dan mendistribusikan catatan rapat, korespondensi rutin, dan membuat laporan.Mencari dan melampirkan file yang sesuai untuk korespondensi yang membutuhkan balasan.Menerima pemberitaan email, materi promosi, dan informasi lainnya.Penjadwalan dan mengatur acara.Membuat salinan dari korespondensi dan barang cetakan lainnya.Menjadwal dan mengkonfirmasi janji dengan klien, pelanggan, atau pengawas.Melakukan pencarian untuk menemukan informasi yang dibutuhkan, menggunakan sumber seperti Internet.Mengkoordinasikan konferensi dan pertemuan.KUALIFIKASIPendidikan minimal D3 / S1 SekretarisSetidaknya memiliki 2 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.Lebih disukai Supervisor/Koordinator khusus dalam Sekretaris/Personal Assistant atau setara.Usia maksimal 30 tahunDapat berbahasa inggris (minimal pasif)Komunikatif, dapat diandalkan, tanggap, dan cepatMampu mengoperasikan komputer Office dengan baik.Memiliki integritas, disiplin Apply atau Kirim berkas CV lengkap ke :PT WAHANA KOSMETIKA INDONESIAKomp.Pergudangan Gedangan Permai Blok A20, B17, B18,Gedangan, Sidoarjo
33380|Recruitment Specialist|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|3 tahun|Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR||23 days|201 - 500 pekerja|Manajemen/Konsulting HR|OverviewOur client is a Japanese Finance Banking industry based in South JakartaRequirementsCandidate must possess at least a Bachelor's Degree, Psychology (mandatory)At least 3 year(s) of working experience in RecruitmentPreferably Staff (non-management & non-supervisor)s specializing in Human Resources or equivalent.Able to speak and writing in English are mandatoryThis is Outsourcing contract basedJob DescriptionSourcing candidate CV for Associate/AVP level and belowReview and select candidate CV for fresh graduates positionArrange candidate interview with HRBP, User, and ManagementCollect required documents from candidate and mandatory form to fillCreate hiring memo after candidate accepts offer and conduct background checking (KYE, ABC Hiring Risk)Arrange hiring test ie. Psychological Test, TOEIC Test, and Medical Check-UpCreate PKWT / PKWTT and arrange candidate signing with HRBPEnsure on-boarding requirement fulfilled before candidate's joining date (user login ID, employee ID, ATM Card)This position will be directly report to Head of Learning & Development Unit
33381|GURU TAHFIDZ|Tasikmalaya|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Pendidikan/Pelatihan,Pendidikan|Tunjangan Pendidikan;Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Jabatan Akademik, BPJS Ketenagakerjaan, THR, Bonus Tahunan, Bantuan Penelitian||51 - 200 pekerja|Pendidikan|Sendiri / suami istriMinimal usia 20 tahunPendidikan minimal SMAMemiliki pengalaman kerja minimal 1 (satu) tahun sebagai Guru Lembaga Tahfidz atau sejenisnyaMinimal hapal 15 JuzBersedia bekerja secara timBersedia tinggal di Asrama
33382|RM-SRM Lending (Jawa Tengah)|Jawa Tengah|IDR|Manajer/Asisten Manajer|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)||Lebih dari 5000 pekerja|Perbankan/Pelayanan Keuangan|Tanggung jawab pekerjaan :Mempertahankan, meningkatkan dan memperdalam relasi hubungan dengan  dan calon pelanggan UKM.Memperoleh Outstanding loan/funding dan meminimalkan pengurangan rate.Mengumpulkan informasi pasar dan melakukan pembaruan database pelanggan untuk mencapai cross selling yang efektif.Menganalisis dan membuat proposal kredit serta memberikan rekomendasi proposal kepada Area Business Banking Manager (ABBM).Melakukan kegiatan penjualan sesuai ketentuan (termasuk ketentuan Bank Indonesia).Menyediakan pipeline/laporan harian dan laporan kegiatan.Memastikan proses Customer Due Diligence (CDD) kepada customer.Persyaratan pekerjaan :Min. Gelar Sarjana atau Diploma dari Universitas terkemuka atau setara.Memiliki pengalaman kerja min. 2-3 tahun untuk bidang yang relevan dengan Industri Perbankan (Relationship Manager SME).Memiliki Passion dan minat untuk menjual berbagai produk Perbankan.Memiliki inisiatif yang tinggi, pemikiran analitis yang kuat, persuasif yang baik dan ulet (target driven).Keterampilan Komunikasi, Interpersonal dan penjualan/sales yang kuat.Memiliki kemampuan networking yang baik di  formal dan non-formal organisasi, dengan berbagai tingkat korespondensi
33383|HRD Staff|Jakarta Selatan|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sumber Daya Manusia / HR|Asuransi kesehatan;Pinjaman;Jam Bekerja yang Panjang;Bisnis (contoh: Kemeja)|19 days|1- 50 pekerja|Perawatan/Kecantikan/Fitnes|Bertanggung jawab mengelola dan mengembangkan sumber daya manusia.Membantu membuat sistem HRD yang efektif dan efisien.Melaksanakan proses recruitment mulai dari proses mencari kandidat karyawan, menyortir, dan menyeleksi surat lamaran, dan melakukan interview untuk mendapatkan calon kandidat yang sesuai dengan permintaan user.Melakukan seleksi, promosi, mutasi dan demosi pada karyawan yang dianggap perlu.Membuat kontrak kerja karyawan serta memperbaharui masa berlakunya kontrak kerja.Membuat surat-surat yang berkaitan dengan administrasi kepegawaian.Filling dokumen karyawan, menyusun dan mengkroscek database karyawan serta memperbaharuinya jika terdapat perubahan.Membuat surat-surat yang berkaitan dengan legalitas klinik.Filling dokumen legalitas klinik, menyusun dan mengkroscek database legalitas klinik serta memperbaharuinya jika terdapat perubahan.Membuat surat-surat yang berkaitan dengan kerjasama pihak ketiga.Filling seluruh dokumen kerjasama dengan pihak ketiga, menyusun dan mengkroscek database dokumen tersebut serta memperbaharuinya jika terdapat perubahan.Menginformasikan kepada tim terkait apabila terdapat database pegawai baru melalui email dalam satu subyek yang sama.Menjaga segala informasi dan rahasia Perusahaan terkait dengan data-data yang ada di dalam divisi HRD.Mengurus kasus hukum karyawan baik skala kecil maupun skala besar.Membuat laporan bulanan sesuai dengan lingkup kerja yang dilakukan untuk kebutuhan analisa dan monitor kerja oleh atasan wajib untuk diserahkan setiap awal bulan.
33384|Ticketing Staff|Sleman|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Penuh Waktu|Hotel/Restoran,Hotel/Pariwisata|Bisnis (contoh: Kemeja)||1- 50 pekerja|Makanan & Minuman/Katering/Restoran|Requirements:Candidates must possess at least Diploma 3 from any majorPreferably having a work experience at Airlines or Travel industries as ticketing staffGood written & spoken in English is a mustFlexible availabilities are highly appreciated and rewarded (able to work shifts that include days, night, public holidays)Fresh Graduate (s) are welcome.Responsibilities:Compute ticket cost and issue / reissue ticketsEnsures target are met for each day, completed accurately and to the satisfaction of the customerRespond to customer inquiries with accurate information
33385|Supervisor + Drafter Interior Contractor|Jakarta Barat|IDR|Supervisor/Koordinator|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Bangunan/Konstruksi,Arsitek/Desain Interior|Kasual (contoh: Kaos);THR|13 days|51 - 200 pekerja|Pelayanan Arsitek/Desain Interior|Persyaratan Pribadi: Umur maksimal 35 tahun.Pengalaman di bidang Interior atau Sipil Kontraktor minimal 2 tahun.Wajib Menguasai CAD 2D & SKP 3D dengan BAIK & PRO.Lulusan Minimal SMK / Sederajat di bidang Teknik.Menguasi teknik pekerjaan Interior dengan baik.Mempunyai kendaraan pribadi motor.Teliti dan DETAIL dalam bekerja.Dapat bekerja dibawah tekanan dan siap bekerja keras.Dapat bekerja dalam teamwork.Teliti, Jujur, Disiplin & bertanggung Jawab.Hardworking.Siap Berkembang.Persyaratan Keterampilan: Menguasai pekerjaan FurnitureMenguasai pekerjaan PlafondMenguasai pekerjaan MEMenguasai pekerjaan SipilDeskripsi Pekerjaan:Membuat gambar kerja 2D di CAD dan pemodelan 3D di SKPMengawasi dan Berkoordinasi dengan Tukang, Subcontractors & Supplier di lapangan.Mengawasi, mengontrol dan memeriksa perkerjaan sesuai dengan gambar kerja, spesifikasi dan mutu serta waktu yang telah ditentukan.Membuat laporan harian dan laporan progress mingguan.Project planning dan management.Apabila Anda memenuhi persyaratan diatas segera kirimkan aplikasi lamaran dan CV lengkap terbaru. Tolong sertakan portfolio gambar2 yang pernah anda kerjakan.
33386|Marketing & Business Development Manager|Badung|IDR|Manajer/Asisten Manajer|3 tahun|Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis|||1- 50 pekerja|Lainnya|Berawal dari 2014, perusahaan kami berusaha membuat dan memasarkan produk Premium Souvenir & Merchandise untuk Pariwisata Indonesia.Kini kami hendak mengembangkan sayap lebar untuk naik ke level pemasaran yang lebih tinggi.Kami mencari kandidat dengan tanggung jawab sbb:Membangun Branding perusahaan agar menjadi yang terbaik di IndonesiaMenerapkan Digital MarketingMelakukan riset pasarMencari peluang pelanggan baru dan menjaga relasi antar pelanggan atau klienBekerja sama dengan divisi lain untuk memenuhi kebutuhan pasar atau klienMenyusun dan mempresentasikan rencana pengembangan bisnis perusahaanMelakukan riset perkembangan bisnis perusahaan secara berkalaMemahami produk dari perusahaan, kompetitor, dan posisi bisnis di dalam pasarBekerja sama dengan bagian sales agar mendapatkan calon klien atau pelanggan baru yang menjanjikanKriteria Kandidat yang dibutuhkan:Bermotivasi dan Inisiatif TinggiMemiliki Skill Analisis yang baikTerbiasa menyajikan Laporan Analisa dataMemiliki Kemampuan Komunikasi dan Negosiasi yang baikTeam PlayerKemampuan Mengatur Waktu dan PrioritasSiap bekerja di BaliMinimal memiliki 3 tahun pengalaman kerja di bidang yang samaMinimal lulusan S1
33387|Marketing & Development Staff|Ubud|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Tidak terspesifikasi|Penuh Waktu|Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis|Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);Social Security, Medical, Dental, Sports, and Miscellaneous Allowance|22 days|51 - 200 pekerja|Manufaktur/Produksi|Managing all marketing activities within the company.Developing and implementing marketing strategies to drive demand for the company products with new and existing accounts.Manage and improve lead generation campaigns as well as monitoring and reporting.Planning launch of new products and management of implementation.Overseeing company marketing budget.Establish and maintain a consistent corporate image throughout all product lines, promotional materials and events.Maintaining effective internal communications to ensure all company departments are kept informed of marketing objectives.Required skill(s): strong business acumen, excellent communication and customer relation, fluent in English with excellent written and verbal ability, business development, strategic and business planning, good time management, marketing analysis, marketing and product development, customer acquisition.
33388|Counsellor (Sales Marketing)|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Telesales/Telemarketing|Asuransi kesehatan;Bisnis (contoh: Kemeja)||1- 50 pekerja|Pendidikan|Job Responsibities :Advise and assist clients (students) choosing the suitable overseas study destination.Provide assistance and advice on accurate information in all aspect both educational and non-educational, includes : the institutions, the course, the destination, study and social life, transportation, accommodation, etc.Involved in promotions, campaign and special event activities such as company's exhibition or school expo.Achieve student recruitment target (selling our services)Job Requirements :Minimum Bachelor Degree (Overseas graduates preferred)Strong passion in Sales and ServicesMinimum has one year of experience in salesA good command in English both verbal and written is a mustComputer (Outlook, Microsoft Word, Microsoft Excel) and Internet literateSmartworking and outgoing personalityA resilient personStrong passion in education field and dealing with peoplePlacement : Jakarta Pusat dan BaliAdditional Benefits :Overseas TrainingBonusCommission
33389|CS And TELESALES (TRADDING)|Bali|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Kontrak|Akuntansi / Keuangan,Perbankan / Jasa Finansial |Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|23 days|1- 50 pekerja|Perbankan/Pelayanan Keuangan|Pendidikan Minimal SMA sederajatPendidikan D3 dan S1 menjadi nilai tambahUsia maksimal 30 tahunDiutamakan memiliki pengalaman di bidang Financial and Tradding menjadi nilai tambahPengalaman menjadi CS dan Telesales selama 1 tahunMempunyai PC/ Laptop untuk bekerja remote (Full WFH)Berpengalaman di Financial Industry and Tradding akan lebih diutamakanPernah menjalankan applikasi Binomo dan sejenisnyaDiutamakan memiliki pengalaman sistem starhub/slide-tittle/zeus menjadi nilai tambahKeterampilan yang Dibutuhkan: Komunikasi, Komputer, Negosiasi, Penanganan Pelanggan, KoleksiPaham dengan Strategi Pengumpulan dan Kreatif dalam menegosiasikan Syarat dan Metode InvestPaham dengan Target Services dan Pencapaian KPI dalam TimDapat Bekerja Di Bawah TekananBisa Bergabung SECEPATNYA
33390|DRIVER|Jakarta Pusat|IDR|Pegawai (non-manajemen & non-supervisor)|5 tahun|SMA, SMU/SMK/STM|Kontrak|Lainnya,Pekerjaan Umum||||Lainnya|Sebagai Sopir Pribadi Direktur, anda akan bertanggung jawab untuk mengantarkan penumpang dengan selamat dan tepat waktu, menjaga kebersihan kendaraan serta memastikan mesin kendaraan dalam kondisi terawat.Deskripsi Pekerjaan•          Jam masuk senin - sabtu jam 07.00 - selesai (standby minimal sd jam 17.00 apabila tidak ada kegiatan)           •         Menjemput dan mengantar penumpang ataupun barang dengan tepat waktu•          Menjaga dan merawat kebersihan mobil dan perlengkapannya•          Wajib menjaga kebersihan dan kerapihan diri sendiri•          Melakukan pengecekan terhadap mesin secara berkala dan membawa ke bengkel untuk perawatan dan perbaikan mobil•          Mampu menjaga kerahasiaan informasi•          Wajib datang tepat waktu sesuai arahan pihak user•          Maksimal keterlambatan yang ditoleransi adalah 5 menit, apabila terlambat lebih dari 5 menit wajib menginformasikan kepada atasan•          Menjaga keselamatan dan kenyamanan pihak user•          Wajib melaksanakan intruksi dari atasan dan mampu merespon dengan cepat•          Bersedia lembur apabila di perlukan•          Bersikap sopan santunKualifikasi Yang Dibutuhkan•          Minimal Memiliki SIM A, domisili di Jakarta Timur dan sekitarnya•          Berkarakter defensive driving (safety first), dengan Pendidikan minimal SMA/SMK sederajat•          Pengalaman minimal 2 tahun sebagai supir perusahaan / direksi•          Menguasai wilayah Jabodetabek dan sekitarnya•          Memiliki tanggung jawab, loyalitas, jujur, sopan dan disiplin•          Bersedia untuk kerja lembur serta bepergian dan menginap ke luar kota bila diperlukanTravelling :Hingga 80% dari total waktu.Waktu Kerja :6 hari semingguStatus PegawaiKontrak / Karyawan Permanen
33391|Spv QC|Pasuruan|IDR|Supervisor/Koordinator|3 tahun|Sarjana (S1)|Penuh Waktu|Manufaktur,Manufaktur|Bisnis (contoh: Kemeja);BPJS|14 days|501 - 1000 pekerja|Manufaktur/Produksi|KUALIFIKASI :Pendidikan S1/S2 Teknik Industri atau Teknik KimiaBerpengalaman dibidang plastik kemasan (pp cup, tutup botol, preform pet/botol plastik), plastik houseware, atap PVC, non woven spundbond, dsb.Berpengalaman sebagai Spv QC minimal 3 TahunMemahami analisis mikrobiologi, familiar dengan GMP & HACCPJujur, teliti, proaktif, dan responsifMemahami ISO 22000:2018 & FSSC 22000 Version 5.1Mampu menyajikan data dengan Microsoft Officepandai menganalisa dan berpikir logisMemiliki komunikasi yang baik dan keterampilan interpersonal yang bagusPenempatan : Gempol, Pasuruan
33392|Legal Compliance Supervisor (ID: 540811)|Jakarta Raya|IDR|Supervisor/Koordinator|3 tahun|Sarjana (S1)|Penuh Waktu|Manufaktur,Manufaktur|Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|26 days|1001 - 2000 pekerja|Manajemen/Konsulting HR|"PERSOLKELLY Indonesia is currently assisting one of our clients in manufacturing industry in finding great talent as Legal Compliance Supervisor with the requirement as follows:Working Location : South JakartaResponsibilities:Reinforce Legal activitySupervise legal activity, contract management, etc.Write, manage, and review legal documents, contracts, agreements, permits, term sheet, and all of the documents related to legal review.Identify risk, regularly analyze the actions and decisions of the company in order to identify problem areas, suggest alternative courses of action and mitigate risk as much as possible.Requirements:Candidate must possess minimum Bachelor Degree majoring in LawHaving experienced in Legal, Compliance Law in Japanese or American companyExperienced in handling english legal documentsHigh attention to detail and strong negotiation skillsFluent in English both oral and writtenAble to work in a team or individuallyIf you are interested and wish to apply for the advertised position, you can simply click ""Apply Now""."
33393|Field Collection|Bengkulu|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun||SMA, SMU/SMK/STM|Kontrak|Akuntansi / Keuangan,Perbankan / Jasa Finansial |Asuransi Gigi;Asuransi kesehatan;Pinjaman;Olahraga (contoh: pusat kebugaran);Parkir;Waktu regular, Senin - Jumat;Bonus;Smart Casual Business|16 days|Lebih dari 5000 pekerja|Perbankan/Pelayanan Keuangan|Deskripsi Pekerjaan Melakukan kunjungan langsung kepada Pelanggan untuk mengingatkan pembayaran cicilan yang telah jatuh tempoPersyaratanPendidikan Minimal SMA/SederajatMemiliki Sepeda Motor dan SIM C AktifFamiliar dengan sekitar area domisiliBenefit Jenjang karirPengahasilan PokokReward InsentifTunjangan KesehatanTunjangan TransportTunjangan Komunikasi
33394|Graphic Design|Jakarta Barat|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Tidak terspesifikasi|Penuh Waktu|Seni/Media/Komunikasi,Seni / Desain Kreatif|Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)|13 days|2001 - 5000 pekerja|Makanan & Minuman/Katering/Restoran|Kualifikasi :Usia maksimal 25thnS1 Design Grafis / DKVMemiliki pengalaman sebagai Design Grafis akan menjadi nilai tambahMenguasai AI, Photoshop, After Effect, Editing Video, Fotographer, CorelDrawLampirkan CV lengkap & Portfolio terbaikPenempatan Kalideres, Jakarta Barat
33395|Sales Associate|Jakarta Selatan|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Kontrak|Penjualan / Pemasaran,Penjualan Ritel|Asuransi kesehatan;Pinjaman;Kasual (contoh: Kaos);Intensif (Komisi);Full Shift|27 days|51 - 200 pekerja|Retail/Merchandise|Job Description:Delivering standard service excellence to the customer, based on SOPMastering knowledge and information related to the brand and become fashion consultant to customersDevelop a relationship with existing and new customersConsistently contributing sales by accomplishing store monthly targetPromote and offer the marketing promoMaintaining product stock availabilityEnsuring product and display material is in good conditionEnsuring the display is clean and in accordance with guidelinesQualification Age maximum 28 years oldMinimum SMA or equivalentAt least 1 years of working experiences as a Sales Associate in a Sales Store, preferably from the Retail industryMinimum 1 year in sales roles and retail watch business is a plusStrong in persuading communicationWillingness to commit to a long-term career in a retail companyPassion for customer service-outstandingFashion enthusiastDiscipline, meticulous, and pleasant attitudeAble to work in a full shiftBenefits BPJSSales CommissionAdvancement opportunities Notes: All candidates who meet the requirements will be called for an online interview.
33396|STAFF FINANCE|Tangerang|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Penuh Waktu|Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan|Tip;Asuransi kesehatan;Parkir;Formil (contoh: Kemeja + Dasi);BPJS Ketenagakerjaan||51 - 200 pekerja|Kesehatan/Medis|Tanggung Jawab:Membuat Cash Flow setiap bulan Membuat perencanaan Pembayaran kepada suplierPetty Cash Pergi ke bank untuk cairkan cek / giro dr customer/ untuk biaya operasional perusahaan Membuat Budgeting setiap tahun Report Buku Bank & Kas Setiap BulanKualifikasi:Usia minimal 25 tahunPendidikan minimal D3Pengalaman sebagai Finance minimal 2 tahunRapi, jujur dan telitiMahir komputer, terutama Ms. OfficePernah bekerja menggunakan Program Accurate lebih disukaiMampu mengendarai kendaraan (motor/mobil) untuk keperluan pergi ke Bank
33397|IS Analyst|Jakarta Barat|IDR|Pegawai (non-manajemen & non-supervisor)|3 tahun|Sarjana (S1)|Penuh Waktu|Komputer/Teknologi Informasi,IT-Admin Jaringan/Sistem/Database|Tunjangan Pendidikan;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|25 days|2001 - 5000 pekerja|Pendidikan|Job Requirements:Minimum Bachelor degree from IT / ISHave experience as System Analyst / Project Management minimum 3 yearsAble to handle API Integration would be advantagesGood knowledge about SQL QueryJob Description:Maintain all HCIS ProjectResponsible as Analyst for Human Capital application and other projectsGenerate an effective flow for HCIS project
33398|Product Specialist (Riau, Sumatera Selatan-Jambi, Jawa Barat, Sulawesi Selatan)|Bandung|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Korporasi|Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);Sales Incentive||1- 50 pekerja|Umum & Grosir|About CompanyPT Yota Medika Indonesia (PT Yotamed) is a distributor of medical devices for eye health and distribute disposable product for eye health. Now, we have spread our wings in several big cities in Indonesia, including; Medan, Padang, Palembang, Lampung, Jabodetabek, Bandung, Semarang, Yogyakarta, also Surabaya. We as PT Yotamed, want to make an opportunity for the youth generation who has passionate about growing up with us and taking part with PT Yota Medika Indonesia as Product Specialists.Job Description:Excellent about Product Knowledge.Understanding Medical Knowledge.Ability to promote medical device products such as Consumable Goods to customers (especially: ophthalmologists). (Ex. items: Intraocular Lens (IOL), Viscoelastic, Surgical Instruments, Eye Drape, Etc.)Provide service excellence to all customers.Achieving the targets that have been set.Understanding company values.Requirements:Minimum Bachelor Degree (S1) from any background (D3/D4 are welcome to apply).Maximum age 34.At least 1 year of working experience in the related field is required for this position.Domiciled or willing to be placed in Pekanbaru/Palembang/Bandung/Makassar.Familiar with eye health products.Can reach company target, and willing to work under pressure.Valid SIM C or own motorcycle.Strong interpersonal, teamwork skills, and good communication. Team player, energetic, and Self-Motivated.Good leadership.Allowances:Incentive.Meal & Transport Allowance, Communication Allowance, Accommodation Allowance.BPJS Health & Ketenagakerjaan.Training and Up Country Area.Indonesian Sales Team Network.Placement:Riau Area (Base Pekanbaru).Sumatera Selatan-Jambi Area (Base Palembang).Jawa Barat Area (Base Bandung).Sulawesi Selatan Area (Base Makassar).
33399|Sales Corporate Account (B2B) - JAKARTA|Jakarta Selatan|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Korporasi|Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja);BPJS Health, BPJS Labor, Private Health Insurance, Allowances|20 days|51 - 200 pekerja|Umum & Grosir|Requirement:Have a good network in Jakarta areaMinimum 2 years of Sales B2BHave database on clients that required vehicles transportationHave a direct relationship with clients (person in charge)Have experience in Logistic / Automotive / RentCar / Transportation / CargoAbility to manage multiple projects and clientsStrong communication and interpersonal skillsFluent in English (all report using English both oral & written)Able to join ASAP!Responsibilities:Dialogue with our clients to understand their business objectives and challengesFind new clients and travel out to meet the person in chargeAnalyze clients' data and provide strategic recommendations to clientsPresent value-proposition to sales leads and current customersProspect for new sales leads and close salesRemuneration:Basic Salary + Allowance + Attractive Commission Scheme;Product knowledge and training provided
33400|Creative Design / Desain Kreatif / Graphic Designer / Desain Grafis|Jakarta Utara|IDR|Pegawai (non-manajemen & non-supervisor)|2 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Kontrak|Seni/Media/Komunikasi,Seni / Desain Kreatif|Tip;Asuransi kesehatan;Pinjaman;Parkir;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);Ketenagakerjaan, kesehatan|26 days|51 - 200 pekerja|Umum & Grosir|Deskripsi pekerjaan :1. Merancang dan membuat konten kreatif serta materi marketing, media sosial, maupun pengiklanan untuk tampilan visual yang menarik, punya kesan engage dan relevan dengan brand2. Membuat dan mengelola seluruh creative deliverables sesuai dengan timeline yang ditentukan3. Berkoordinasi dengan Content Strategist dan Photographer untuk produksi kontenKualifikasi:1. Usia maks 30 tahun2. Memiliki kemampuan yang baik di bidang desain grafis, layoutingm dan content planning3. Mengikuti tren terbaru di industri fashion dan aksesoris4. Memahami dasar cara menarik perhatian audiens melalui konten5. Memiliki taste visual yang baikLebih Disukai untuk direkrut:1. Punya kapabilitas aplikasi design dan video editing dari banyak platform2. Punya pengalaman mendesign brand produk Aksesoris Fashion3. Punya keinginan belajar dan upgrade kemampuanJam KerjaSenin - Jumat  08:00 - 17:15
33401|Account Manager|Jakarta Raya|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Tidak terspesifikasi|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Korporasi|Tip;Asuransi kesehatan;Bisnis (contoh: Kemeja);SENIN-JUMAT||1- 50 pekerja|Konsultasi (Bisnis & Manajemen)|EligibiltyIn-depth knowledge of the core products and of some marketing products.Have received positive feedbacks from the Sales Manager concerning the management of his/her customers;Successful management of at least 6 medium difficulty negotiations and 3 high difficulty ones;Understanding of clients’ needs and identification of new development opportunities by means of penetration and cross selling;Maintenance of a strong commitment, result orientation attitudeAccountabilityManagement of clients (existing & new business).Autonomously manage assigned clients’ portfolio, collecting ideas and hints from customers, which are going to be systematized and internalized.Identify new opportunities, independently manage the selling of all standard products/services and the commercial negotiations with customers.Manage negotiations of medium complexity in autonomy.Autonomously manage CRM and meetings with customers, as well as prepares Customer’s feedback reports and sales activity reports.Guarantee the meeting of the assigned margin and turnover goals by following the corporate managerial/operational (i.e. Sales operational guide).Manage the offer phase within the agreed deadlines.﻿Collect information on new products/services and on commercial initiatives developed from competitors reporting clients’ feedbacks on them
33402|SERVICE MANAGER|Jawa Tengah|IDR|Manajer/Asisten Manajer|3 tahun|Sarjana (S1)|Penuh Waktu|Teknik,Mekanikal|Tip;Asuransi kesehatan;Jam Bekerja yang Panjang;Kasual (contoh: Kaos)|12 days|51 - 200 pekerja|Automobil/Mesin Tambahan Automotif/Kendaraan|LINGKUP PEKERJAAN :1. Memastikan workshop/bengkel resmi honda mencapai target performance dan sales.2. Memastikan bisnis workshop/bengkel resmi Honda dapat bertumbuh setiap tahunnya.QUALIFIKASI :1. Umur maks 40 tahun.2. Pendidikan : S1.3. Latar belakang pengalaman : Bisnis Otomotif, Workshop/Bengkel, Sales Distribusi.4. Pengalaman kerja : min 3 tahun.5.Memiliki kemampuan Manajerial yang baik6. Mampu mengambil keputusan dengan cepat dan tepat7. Mampu berkomunikasi dengan baik secara horizontal ataupun vertikal8. Mampu memberikan analisis dan presentasi yang baik9..Mampu mengkoordinasikan pada bawahanya10..Mampu mengawasi setiap sumber daya yang ada11.Dapat bekerja secara team dan individu12.Berjiwa pemimpin, jujur, disiplin, beretika, pekerja keras, cekatan, dan baik dalam berkomunikasi lisan maupun verbal13.Berdedikasi tinggi dan siap bekerja di bawah tekanan14.Teliti, Rapi, Jujur dan bertanggung jawab15.Gaji menarik (up s.d 15 Juta)16.Bersedia ditempatkan di Semarang, Jawa Tengah
